Responsável,ARTIGO,BIBTEX,Ano,Autores,Conferencia (Local de Publicação),"Repositorio (PubMed Capes, ACM IEEE)",Citações (Google Scholar),"Plataforma (WhatsApp, Telegram, Discord, WeChat, etc)",País,"conjunto de dados utilizados para fazer analise (Não usou, mensagens, entrevistas, coleta, dado fornecido por usuario). survey de outros artigos...",Tamanho do dataset (Se tiver coletado dado direto da rede social),"Tópico  dos dados (Política, Saúde, Outro?)","Quais as características mais internas dessas plataformas que favorecem o espalhamento de desinformação? (por exemplo: ambiente é criptografado, é anonimo, é dificil de rastrear,  não da pra checar veracidade, viraliza muito facil etc etc) Coisas internas aos sistemas do WhatsApp Telegram Etc","Quais os principais problemas externos à plataformas e da sociedade que facilitam o espalhamento de desinformação levantados pelo artigo? Desafios apontados externos ao WhatsApp/Efeitos da desinformação na população (alguns exemplos: caracteristicas da população em geral, sociedade polarizada, topicos polemicos, característica geracionais, entre outros fatores que favorecem o compartilhamento de fake news)","Quais os impactos causados pela desinformação/fake news na nossa sociedade levantados pelo artigo? Quais os problemas causados em consequência da fake news (alguns exemplos: manipulação de eleições (e outras opiniões), deterioramente da saúde, impactos na saúde, educação, tecnologia etc)","O artigo tem alguma Soluções propostas EFETIVA para combate a desinformação? ( Exemplos: Modelo de IA para detecção de desinformação, arquitetura especifica para checar os fatos, colaboração com agencia de fact-checking, mudanças nas diretrizes e funcionamento das plataformas, políticas publicas de combate a desinformação)",Quais os meios de combate à desinformação tem sido aplicado nessas plataformas,OBSERVAÇÕES
Helom,FakeWhastApp. BR: NLP and Machine Learning Techniques for Misinformation Detection in Brazilian Portuguese WhatsApp Messages.,cabral2021fakewhastapp,2021,"Lucas Cabral

José Maria Monteiro

José Wellington Franco da Silva

César Lincoln Mattos

Pedro Jorge Chaves Mourão","ICEIS 2021 – 23rd International Conference on Enterprise Information Systems
",Scholar,18,WhatsApp,Brasil,"Mensagens de grupos públicos de WhatsApp, com temas políticos, coletadas durante as eleições brasileiras de 2018","Foram coletadas inicialmente 282.601 mensagens, das quais um subconjunto de 5.284 mensagens “virais” (ou seja, repetidas ao menos uma vez e com mais de 5 palavras) foi rotulado manualmente quanto à presença de desinformação",Política,o artigo destaca a funcionalidade de grupos do WhatsApp (até 256 usuários) e o encaminhamento de mensagens como características centrais que facilitam a disseminação rápida de desinformação,o artigo foca principalmente em métodos técnicos de detecção,"menciona de forma geral os danos como a erosão da confiança nas informações, ameaças à democracia e riscos à saúde pública","o artigo avalia classificadores baseados em 'NLP'para detecção de desinformação em mensagens do WhatsApp. Também propõe abordagens futuras multimodais que combinem análise de texto e mídia.
",não discute mudança na plataforma,
Helom,Research of fake news spreading through WhatsApp,khurana2019research,2019,"Pooja Khurana, Deepak Kumar, Sanjeev Kumar","IJITEE – International Journal (Índia, 2019)",Scholar,8,WhatsApp,India,"Modelo matemático (SIR), sem coleta de dados reais",Não tem,Geral,"o artigo destaca características, como o sistema de criptografia de ponta a ponta, que dificulta o monitoramento e a regulação do conteúdo compartilhado. Além disso, menciona a facilidade de compartilhamento em massa e a formação de grupos","o artigo menciona fatores externos, como a falta de conscientização dos usuários e o aumento do acesso a smartphones e internet de baixo custo na Índia, que contribuem para a disseminação de desinformação.",Não aborda diretamente ,"O artigo sugere que os usuários do WhatsApp verifiquem a veracidade das notícias antes de compartilhá-las, mas não propõe soluções sistêmicas",O artigo não menciona nenhuma medida específica aplicada pelo WhatsApp,
João Francisco,"Addressing misinformation on WhatsApp in India through intermediary liability policy, platform design modification, and media literacy",10.5325/jinfopoli.10.2020.0276,2020,"B Medeiros, P Singh",Journal of Information Policy,Scholar,20,Whatsapp,Índia,Não usou,-,Política,Criptografia,"Tensões culturais pré-existentes, Polarização política, Baixa taxa de alfabetização","Violência (linchamentos), impactos na saúde, manipulação de eleições","Campanhas de alfabetização digital, Jornalismo cidadão","Modificação do forwarding, Banir usuários que nunca passam tempo digitando (apenas colam), Banir usuários ",
João Francisco,Can WhatsApp benefit from debunked fact-checked stories to reduce misinformation?,reis2020whatsappbenefitdebunkedfactchecked,2020,"J Reis, PF Melo, K Garimella, F Benevenuto",PREPRINT,Scholar,65,Whatsapp,"Brasil, India",,,Combate,Criptografia,-,"panico social, linchamentos, afeta o processo democrático",Arquitetura de fact-checking,-,
João Francisco,Sharing fake news about health in the cross-platform messaging app WhatsApp during the COVID-19 pandemic: A pilot study,pinheiro2020sharing,2020,"DA Pinheiro, MGL De Araújo, KB De Souza, BDS Campos, EM De Oliveira, RSM Lima",International Journal of Scientific Research and Management,Scholar,9,Whatsapp,Brasil,mensagens de 250 grupos,31 mensagens falsas,Saúde,"criptografia, comunicação baseada em grupos","nível de educação do usuário, parentes tem maior frequencia de compartilhamento, faixa etária","crescimento do movimento antivax, uso de ""remédios milagrosos""",sugere que profissionais podem ajudar mas não elabora,,
Juan,Social media and fake news in Nigeria: A speech act analysis of WhatsApp messages on coronavirus,Owojecho_2021,2021,Godwin Ayigbo Owojecho, Studies in Pragmatics and Discourse Analysis,Scholar,8,WhatsApp,Nigéria,mensagens de WhatsApp relacionadas à Covid-19 que circularam na Nigéria. O método foi a coleta de mensagens encaminhadas,5 mensagens de WhatsApp,Saúde,-,"
Falta de acesso à verdade e ambiente de incerteza, Crenças e teorias da conspiração preexistentes, Credulidade e falta de evidências verificáveis, Polarização e sentimentos divisivos",Incitação e fomento de sentimentos negativos; Aumento de divisões sociais ,-,-,
Marcos,"Information, misinformation, and disinformation about COVID-19: A content study of closed-cross platform messaging using Whatsapp",verma2020information,2020,"Amit Verma, Maninder Kumar Singh, Dr. Aditi Pareek",International Journal of Advance Science and Technology,Scholar,10,WhatsApp,Índia,Mensagens recebidas no WhatsApp,476 mensagens,Saúde,"O WhatsApp, sendo uma plataforma de mensagens instantâneas com forte presença global, possui diversas funcionalidades (texto, foto, vídeo, áudio, documentos, localização) e permite rápida disseminação de conteúdo. Isso, combinado ao seu uso massivo e ao caráter privado/fechado das mensagens, favorece a circulação de desinformação.","A tendência da população em acreditar cegamente nas mensagens recebidas; baixa criticidade da população; uso de figuras de autoridade (ex: governo, médicos, políticos) como fonte da desinformação; contexto de medo e incerteza sobre a pandemia.","Mortes causadas por desinformação (ex: caso de sequestro na Índia); uso político da desinformação em eleições no Brasil; propagação de pânico, medo e violência nas comunidades.",A criação do chatbot “MyGov Corona Helpdesk” pelo governo indiano como uma tentativa de combater rumores e fornecer informações corretas via WhatsApp,"O WhatsApp adotou uma abordagem colaborativa com o governo indiano através do chatbot, além de conselhos gerais sobre como identificar desinformação. Embora não detalhado, o artigo sugere que há esforços das plataformas para combater a desinformação",
Marcos,Unraveling WhatsApp group dynamics to understand the threat of misinformation in messaging apps,doi:10.1177/14614448231199247,2025,Antonis Kalogeropoulos Patrícia Rossini,New Media & Society,Scholar,5,WhatsApp,Não foca em um país específico,Coleta de notícias falsas sobre COVID-19 a partir de sites de checagem de fatos,3.169 notícias falsas,"Saúde, Política e Conspirações",O artigo detalha várias características internas do WhatsApp que favorecem a desinformação como Grupos com participantes desconhecidos (no-tie) e a criptografia e privacidade.,Custo baixo de acesso na população do Sul Global; Alto uso de WhatsApp para consumo de notícias em países como Brasil e Índia; Polarização e uso político da plataforma; Elites políticas usando o app para disseminar desinformação,Criação de um público engajado e desinformado; Possível manipulação política e eleitoral; Violência social em alguns contextos,Limitação de encaminhamento de mensagens; Sinalização de mensagens encaminhadas várias vezes;,Correções sociais entre os usuários; Mecanismos da própria plataforma,
Renan,Audio misinformation on WhatsApp: A case study from Lebanon,el2022audio,2022,"Azza El-Masri, Martin J. Riedl, Samuel Woolley ","Harvard Kennedy School (HKS) Misinformation Review, 3(4).",Scholar,13,WhatsApp,Líbano,,66 mensagens de voz coletadas; 35 classificadas como desinformação após verificação manual.," Crise econômica, COVID-19, explosão no porto de Beirute, conflitos sectários e o movimento de protesto de 2019.","Whatsapp é uma plataforma de circulos de informação de alta confiança, aúdios são carregados com sentimentos etratados como outras formas de conteúdo, caem sobre restrição dde propagação(fowarding)","A crise política e econômica no Líbano, o colapso da mídia tradicional e a confiança maior nas redes sociais que na imprensa incentivam o uso do WhatsApp como fonte primária de informação, mesmo quando falsa.","Mensagens falsas provocam pânico, medo, raiva, incentivam teorias da conspiração e perpetuam a divisão sectária. São usadas para desacreditar movimentos populares e criar climas de medo.",Propõe que o entendimento da estrutura dessas mensagens pode ajudar fact-checkers e designers de ferramentas a detectar e combater a desinformação via áudio.,Menciona a política de encaminhamento do WhatsApp,
Juan,Images and misinformation in political groups: Evidence from WhatsApp in India,garimella2020imagesmisinformationpoliticalgroups,2020,"Kiran Garimella, Dean Eckles",-,Scholar,3,WhatsApp ,Índia," conjunto de dados coletado diretamente de mensagens de grupos públicos do WhatsApp, especificamente focando em imagens", total de 1.6 milhão de imagens foi coletado,Política,,,,,,
Renan,Teens' motivations to spread fake news on WhatsApp,doi:10.1177/2056305120942879,2020,"P Herrero-Diz, J Conde‐Jimene, S Reyes de Cozar","Social Media + Society
July-September 2020: 1–14",Scholar,8,WhatsApp ,Espanha,Coleta direta via questionário aplicado em papel a adolescentes em escolas da Andaluzia (Espanha); não envolve scraping ou dados de rede social.,480 adolescentes entre 14 e 18 anos,"Fake news em geral, foco em política","WhatsApp é uma plataforma de circulos de informação fechados, confiança entre usuários e dá credibilidade a inforrmação.  linguagem alarmista pra gerar engajamento","Adolescentes nao tem discernimento e maturidade pra lidar com certos tópicos sérios, a credibilidade geralment4e está associada ","O artigo indica que adolescentes compartilham fake news achando que estão informando, o que contribui para sua propagação","Defende a alfabetização midiática crítica desde cedo como solução efetiva, com foco em educação formal.",Não ,
